Artist,Title,Release Date,Price,Status
Wu-Tang Clan,Enter the Wu-Tang (36 Chambers) [LP] [PA],11/09/1993 Parental Advisory,18.99,In Stock
Lauryn Hill,The Miseducation of Lauryn Hill [LP] - VINYL,12/15/2014 ,26.99,In Stock
Metallica,Master of Puppets [LP] - VINYL,11/10/2017 ,18.99,In Stock
David Bowie,Heroes [LP] - VINYL,02/23/2018 ,19.99,In Stock
Panic! At the Disco,Pretty. Odd. [LP] - VINYL,02/10/2009 ,18.99,In Stock
The Notorious B.I.G.,Ready to Die [LP] - VINYL,09/03/2013 ,28.99,In Stock
Tool,Undertow [LP] [PA],09/17/1996 Parental Advisory,28.99,In Stock
Original Game Soundtrack,Final Fantasy VII. Remake/Final Fantasy VII  [LP] - VINYL,01/31/2020 ,69.99,Pre-Order
Dr. Dre,The Chronic [LP] [PA],05/22/2001 Parental Advisory,22.99,In Stock
Kiss,Kissworld: The Best of Kiss [LP] - VINYL,03/29/2019 ,22.99,In Stock
The Beatles,Hard Day's Night [LP] - VINYL,11/13/2012 ,22.99,In Stock
Paul McCartney,Pure McCartney [Deluxe LP] [LP] - VINYL,06/10/2016 ,69.99,In Stock
System of a Down,Hypnotize [LP] - VINYL,10/12/2018 ,15.99,In Stock
The Beatles,Past Masters Vol. 1 & 2 [LP] - VINYL,11/13/2012 ,32.99,In Stock
Lynyrd Skynyrd,(Pronounced 'Leh-'nerd 'Skin-'nerd) [LP] - VINYL,07/31/2015 ,22.99,In Stock
Fleetwood Mac,The Dance [LP] - VINYL,10/12/2018 ,28.99,In Stock
"Emerson, Lake & Palmer",The Anthology [LP] - VINYL,05/31/2019 ,69.99,In Stock
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness [4-LP Deluxe Box Set] [LP] - VINYL,12/04/2012 ,99.99,In Stock
OutKast,Stankonia [LP] - VINYL,11/04/2016 ,29.99,In Stock
Queen,Greatest Hits [2 LP] [LP] - VINYL,11/18/2016 ,32.99,In Stock
Dirty Heads,Swim Team [LP] - VINYL,11/24/2017 ,13.99,In Stock
Justice,Cross [LP] - VINYL,08/02/2011 ,27.99,In Stock
Townes Van Zandt,Townes Van Zandt [LP] - VINYL,10/14/2008 ,16.99,In Stock
Waylon Jennings,The Ramblin' Man [LP] - VINYL,11/13/2015 ,23.99,In Stock
Korn,Untouchables [LP] - VINYL,11/02/2018 ,22.99,In Stock
The Head and the Heart,Living Mirage [LP] - VINYL,05/17/2019 ,19.99,In Stock
Mac Miller,Blue Slide Park [LP] [PA],03/20/2012 Parental Advisory,22.99,In Stock
Santana,Moonflower [LP] - VINYL,11/20/2012 ,29.99,In Stock
Dirty Heads,Sound of Change [LP] [PA],07/29/2014 Parental Advisory,17.99,In Stock
Willie Nelson,"Willie Nelson and the Boys: Willie's Stash, Vol. 2 [LP] - VINYL",10/20/2017 ,19.99,In Stock
David Bowie,Diamond Dogs [LP] - VINYL,02/10/2017 ,19.99,In Stock
Tiny Moving Parts,Breathe [LP] - VINYL,09/13/2019 ,17.99,Pre-Order
Katy Perry,Prism [LP] [Bonus Tracks],12/10/2013 ,23.99,In Stock
System of a Down,Toxicity [LP] - VINYL,10/12/2018 ,15.99,In Stock
Conway Twitty,25 Number Ones [LP] - VINYL,06/21/2019 ,22.99,In Stock
Willie Nelson,God's Problem Child [LP] - VINYL,04/28/2017 ,18.99,In Stock
The Beatles,1962-1966 [LP] - VINYL,12/09/2014 ,32.99,In Stock
Willie Nelson,Pretty Paper [LP] - VINYL,11/02/2018 ,32.99,In Stock
The Cure,"Kiss Me, Kiss Me, Kiss Me [LP] - VINYL",04/20/2013 ,32.99,In Stock
Waylon Jennings,Greatest Hits [RCA] [LP] - VINYL,08/23/2019 ,19.99,Pre-Order
David Bowie,Pin Ups [LP] - VINYL,02/26/2016 ,19.99,In Stock
Dillon Carmichael,Hell on an Angel [LP] - VINYL,10/26/2018 ,19.99,In Stock
Various Artists,"Stranger Things: Soundtrack From the Netflix Original Series, Season 3 [LP] - VINYL",07/26/2019 ,29.99,In Stock
Rodney Crowell,Texas [LP] - VINYL,08/16/2019 ,17.99,Pre-Order
Original Game Soundtrack,Final Fantasy VII. Remake/Final Fantasy VII [Limited Edition] [LP] - VINYL,02/07/2020 ,119.99,Pre-Order
Pink Floyd,A Saucerful of Secrets [LP] - VINYL,06/03/2016 ,23.99,In Stock
Slipknot,We Are Not Your Kind [LP] - VINYL,08/09/2019 ,29.99,In Stock
Kansas,Kansas [LP] - VINYL,07/20/2018 ,23.99,In Stock
Sublime,Sublime [LP] [PA],06/24/2016 Parental Advisory,26.99,In Stock
Kiss,Gene Simmons [LP] - VINYL,09/23/2014 ,22.99,In Stock
Green Day,Nimrod [LP] - VINYL,06/16/2009 ,17.99,In Stock
blink-182,Enema of the State [LP] - VINYL,10/07/2016 ,22.99,In Stock
Bill Evans,Stan Getz & Bill Evans [LP] - VINYL,02/22/2019 ,22.99,In Stock
Pink Floyd,Piper at the Gates of Dawn [LP] - VINYL,06/03/2016 ,23.99,In Stock
Miles Davis,Kind of Blue [180-Gram Vinyl] [LP] - VINYL,04/12/2011 ,22.99,In Stock
Foo Fighters,Greatest Hits [LP] - VINYL,11/03/2009 ,22.99,In Stock
Dua Lipa,Dua Lipa [Complete Edition] [LP] - VINYL,12/21/2018 ,39.99,In Stock
Jimi Hendrix,Blues [LP] - VINYL,01/11/2011 ,15.99,In Stock
John Mayer,Where the Light Is: John Mayer Live in Los Angeles [LP] - VINYL,03/06/2012 ,58.99,In Stock
John Coltrane,Ballads [LP] - VINYL,02/15/2019 ,19.99,In Stock
The Black Keys,Let's Rock [LP] - VINYL,06/28/2019 ,19.99,In Stock
The Beatles,Magical Mystery Tour [Reissued] [Remastered] [180-gram Vinyl] [LP] - VINYL,11/13/2012 ,22.99,In Stock
Amy Winehouse,Back to Black [LP] [PA],06/19/2007 Parental Advisory,16.99,In Stock
Luke Combs,This One's for You Too  [LP] - VINYL,11/16/2018 ,27.99,In Stock
Lynyrd Skynyrd,Skynyrd's Innyrds: Greatest Hits [LP] - VINYL,11/30/2018 ,17.99,In Stock
Bear McCreary,GODZILLA: KING OF THE MONSTERS [LP] - VINYL,08/30/2019 ,69.99,Pre-Order
Pearl Jam,Ten [LP] - VINYL,11/10/2017 ,15.99,In Stock
Various Artists,Woodstock: Back to the Garden (50th Anniversary Experience) [LP] - VINYL,06/28/2019 ,119.99,In Stock
AC/DC,The Razor's Edge [LP] - VINYL,10/07/2003 ,17.99,In Stock
Adele,21 [LP] - VINYL,02/22/2011 ,18.99,In Stock
Alan Silvestri,Avengers: Endgame [Original Motion Picture Soundtrack] [LP] - VINYL,08/30/2019 ,19.99,Pre-Order
Travis Scott,Astroworld [LP] [PA],11/16/2018 Parental Advisory,29.99,In Stock
AC/DC,Back in Black [LP] - VINYL,10/14/2003 ,19.99,In Stock
Rush,2112 [LP] - VINYL,03/17/2015 ,26.99,In Stock
George Strait,Icon: George Strait [LP] - VINYL,11/17/2017 ,16.99,In Stock
Bradley Cooper,A Star Is Born [2018] [Original Motion Picture Soundtrack] [LP] [PA],10/05/2018 Parental Advisory,33.99,In Stock
Prince,Purple Rain [Paisley Park Remaster] [LP] - VINYL,06/23/2017 ,23.99,In Stock
Kendrick Lamar,"Good Kid, M.A.A.D. City [LP] [Bonus Tracks]",10/22/2012 ,20.99,In Stock
Fleetwood Mac,Rumours [35th Anniversary Edition] [LP] - VINYL,04/16/2011 ,23.99,In Stock
Jimi Hendrix,Electric Ladyland [LP] - VINYL,03/09/2010 ,15.99,In Stock
The Beatles,Revolver [Remastered] [LP] - VINYL,11/13/2012 ,20.99,In Stock
"Tyler, The Creator",IGOR [LP] - VINYL,09/27/2019 ,23.99,Pre-Order
Drake,Take Care [LP] [PA],12/13/2011 Parental Advisory,23.99,In Stock
Led Zeppelin,Led Zeppelin II [Remastered] [LP] - VINYL,06/03/2014 ,23.99,In Stock
Metallica,...And Justice for All [LP] - VINYL,11/02/2018 ,23.99,In Stock
Billie Eilish,dont smile at me [LP] - VINYL,11/10/2017 ,19.99,In Stock
Pink Floyd,The Wall [LP] - VINYL,08/26/2016 ,42.99,In Stock
Steve Miller,Ultimate Hits [LP] - VINYL,10/27/2017 ,28.99,In Stock
Marvin Gaye,What's Going On [180 Gram Vinyl] [LP] - VINYL,12/09/2008 ,23.99,In Stock
Elton John,Goodbye Yellow Brick Road [LP] - VINYL,04/08/2014 ,28.99,In Stock
The Beatles,The Beatles [White Album] [50th Anniversary Edition] [LP] - VINYL,11/09/2018 ,42.99,In Stock
Twenty One Pilots,Blurryface [LP] - VINYL,07/31/2015 ,26.99,In Stock
The Stylistics,The Best of the Stylistics [Amherst] [LP] - VINYL,10/17/1990 ,17.99,In Stock
Original Soundtrack,"Guardians of the Galaxy: Awesome Mix, Vol. 2 [Deluxe Edition] [2 LP] [LP] - VINYL",08/11/2017 ,26.99,In Stock
John Denver,Greatest Hits [LP] - VINYL,01/18/2019 ,18.99,In Stock
Ella Mai,Ella Mai [LP] [PA],12/14/2018 Parental Advisory,19.99,In Stock
Kendrick Lamar,To Pimp a Butterfly [LP] - VINYL,10/23/2015 ,26.99,In Stock
Kanye West,Late Registration [LP] [PA],08/30/2005 Parental Advisory,22.99,In Stock
Queen,Greatest Hits II [LP] - VINYL,02/10/2017 ,32.99,In Stock
NF,The Search [LP] - VINYL,09/13/2019 ,23.99,Pre-Order
Garth Brooks,Legacy Collection [Limited Edition Numbered] [7 180 Gram Vinyl/7 CD] [Poster] [LP] - VINYL,11/01/2019 ,74.99,Pre-Order
Greta Van Fleet,Anthem of the Peaceful Army [LP] - VINYL,10/19/2018 ,18.99,In Stock
Lin-Manuel Miranda,Hamilton: An American Musical [Original Broadway Cast Recording] [4 LP Box Set] [LP] [PA],04/15/2016 Parental Advisory,69.99,In Stock
Nipsey Hussle,Victory Lap [LP] [PA],04/20/2018 Parental Advisory,29.99,In Stock
"Earth, Wind & Fire","Greatest Hits, Vol. 1 [LP] - VINYL",01/19/2018 ,18.99,In Stock
Khalid,American Teen [LP] - VINYL,04/14/2017 ,18.99,In Stock
The Beatles,Let It Be [LP] - VINYL,11/13/2012 ,20.99,In Stock
The Beach Boys,Sounds of Summer: The Very Best of the Beach Boys [LP] - VINYL,03/02/2018 ,22.99,In Stock
Jimi Hendrix,Experience Hendrix: The Best of Jimi Hendrix [LP] - VINYL,09/08/2017 ,19.99,In Stock
The Beatles,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [1 LP] [LP] - VINYL,12/15/2017 ,22.99,In Stock
Prince,4Ever [LP] - VINYL,09/15/2017 ,53.99,In Stock
Jimi Hendrix,Both Sides of the Sky [LP] - VINYL,03/09/2018 ,22.99,In Stock
Kendrick Lamar,DAMN. [LP] - VINYL,07/14/2017 ,29.99,In Stock
Adele,25 [LP] - VINYL,11/20/2015 ,24.99,In Stock
Hozier,"Wasteland, Baby! [LP] - VINYL",03/01/2019 ,29.99,In Stock
My Morning Jacket,The Tennessee Fire [20th Anniversary Edition] [LP] - VINYL,08/02/2019 ,47.99,In Stock
Red Hot Chili Peppers,Stadium Arcadium [LP] - VINYL,01/30/2007 ,39.99,In Stock
The Police,Outlandos d'Amour [LP] - VINYL,11/18/2008 ,23.99,In Stock
New Order,"Power, Corruption & Lies [LP] - VINYL",02/01/2013 ,23.99,In Stock
Brandi Carlile,By the Way I Forgive You [LP] - VINYL,02/16/2018 ,19.99,In Stock
Everything But the Girl,Amplified Heart [LP] - VINYL,07/05/2019 ,29.99,In Stock
The Cure,Disintegration (Deluxe Edition) [LP] - VINYL,06/01/2010 ,29.99,In Stock
Lil Baby,Street Gossip [LP] - VINYL,04/05/2019 ,22.99,In Stock
The Front Bottoms,Talon of the Hawk [LP] - VINYL,05/21/2013 ,14.99,In Stock
Killswitch Engage,Atonement [LP] - VINYL,08/16/2019 ,23.99,Pre-Order
Elton John,Too Low for Zero [LP] - VINYL,04/28/2017 ,22.99,In Stock
Lupe Fiasco,Drogas Wave [LP] - VINYL,01/11/2019 ,32.99,In Stock
Lynyrd Skynyrd,Second Helping [LP] - VINYL,07/31/2015 ,22.99,In Stock
Metallica,S&M [LP] - VINYL,08/25/2014 ,47.99,In Stock
Newton Brothers,Haunting of Hill House [Original Motion Picture Soundtrack] [Blue/Green Vinyl] [LP] - VINYL,03/29/2019 ,47.99,In Stock
The Kinks,Something Else by the Kinks [LP] - VINYL,12/23/2014 ,29.99,In Stock
The Kinks,The Village Green Preservation Society [LP] - VINYL,10/26/2018 ,23.99,In Stock
The Beatles,1967-1970 [LP] - VINYL,12/09/2014 ,32.99,In Stock
Yazoo,Upstairs at Eric's [Limited Edition] [LP] - VINYL,07/24/2012 ,32.99,In Stock
Shuggie Otis,Inspiration Information [LP] - VINYL,07/19/2019 ,23.99,In Stock
Faith No More,King for a Day Fool for a Lifetime [Limited Edition] [LP] - VINYL,12/03/2013 ,29.99,In Stock
Paul McCartney,Pipes of Peace [LP] - VINYL,11/17/2017 ,22.99,In Stock
St. Vincent,St. Vincent [LP] - VINYL,05/26/2015 ,29.99,In Stock
Judas Priest,Angel of Retribution [LP] - VINYL,12/08/2017 ,22.99,In Stock
Queensryche,Empire [LP] - VINYL,08/24/2018 ,47.99,In Stock
Deep Purple,Copenhagen 1972 [LP] - VINYL,08/26/2014 ,39.99,In Stock
Pink Floyd,Ummagumma [LP] - VINYL,06/03/2016 ,36.99,In Stock
Johann Johannsson,Mandy [Original Motion Picture Soundtrack] [LP] - VINYL,09/28/2018 ,39.99,In Stock
A Tribe Called Quest,Midnight Marauders [LP] - VINYL,11/09/1993 ,18.99,In Stock
Radiohead,In Rainbows [180 Gram Vinyl] [LP] - VINYL,05/20/2016 ,22.99,In Stock
Aerosmith,Rocks [LP] - VINYL,04/19/2014 ,19.99,In Stock
Metallica,Ride the Lightning [LP] - VINYL,04/15/2016 ,18.99,In Stock
Pantera,History of Hostility [LP] - VINYL,10/30/2015 ,18.99,In Stock
W.A.S.P.,Inside the Electric Circus [LP] - VINYL,11/27/2012 ,19.99,In Stock
R.E.M.,In Time: The Best of R.E.M. 1988-2003 [LP] - VINYL,06/14/2019 ,28.99,In Stock
Def Leppard,The  Story So Far: The Best of Def Leppard [LP] - VINYL,02/08/2019 ,28.99,In Stock
2Pac,All Eyez on Me [LP] [PA],05/22/2001 Parental Advisory,28.99,In Stock
Bruce Springsteen,Born in the U.S.A. [LP] - VINYL,06/16/2015 ,23.99,In Stock
Kids See Ghosts,Kids See Ghosts [LP] - VINYL,11/02/2018 ,14.99,In Stock
Bruno Mars,24K Magic [LP] - VINYL,11/18/2016 ,18.99,In Stock
Motley Crue,The  Dirt [Official Soundtrack] [LP] - VINYL,03/22/2019 ,23.99,In Stock
Iron Maiden,Number of the Beast [LP] - VINYL,10/14/2014 ,20.99,In Stock
Aerosmith,Toys in the Attic [Remastered] [LP] - VINYL,04/20/2013 ,19.99,In Stock
The Allman Brothers Band,Live At Fillmore East (Ogv) - VINYL,09/23/2008 ,28.99,In Stock
R.E.M.,Automatic for the People [25th Anniversary Edition] [LP] - VINYL,11/10/2017 ,22.99,In Stock
Al Green (Vocals),RB-LP-GREATEST HITS,06/23/2009 ,16.99,In Stock
Childish Gambino,"""Awaken, My Love!"" [LP] - VINYL",11/10/2017 ,18.99,In Stock
Various Artists,Many Faces of Queen [LP] - VINYL,04/05/2019 ,25.99,In Stock
Stone Sour,Hydrograd [LP] [Gatefold Cover] [Bonus CD],06/30/2017 ,33.99,In Stock
2Pac,Strictly 4 My N.I.G.G.A.Z. [LP] [PA],02/16/2018 Parental Advisory,28.99,In Stock
Soundgarden,Superunknown [LP] - VINYL,06/03/2014 ,28.99,In Stock
Gorillaz,Plastic Beach [LP] - VINYL,09/28/2010 ,18.99,In Stock
John Lennon,Imagine [LP] - VINYL,08/21/2015 ,20.99,In Stock
John Mellencamp,The Best That I Could Do 1978-1988 [LP] - VINYL,09/28/2018 ,22.99,In Stock
Meat Loaf,Hits Out of Hell [LP] - VINYL,03/08/2019 ,20.99,In Stock
Aerosmith,Aerosmith's Greatest Hits [LP] - VINYL,06/21/2019 ,22.98,In Stock
Marvin Gaye,Marvin Gaye [Starting Five] [LP] - VINYL,08/16/2016 ,15.99,In Stock
Gorillaz,Gorillaz [LP] [PA],03/17/2015 Parental Advisory,20.99,In Stock
David Bowie,Low [LP] - VINYL,02/23/2018 ,20.99,In Stock
Michael Jackson,Thriller [LP] - VINYL,05/06/2016 ,19.99,In Stock
Chris Stapleton,Traveller [LP] - VINYL,05/26/2015 ,16.99,In Stock
Chris Bacon,Men in Black International [Original Motion Picture Soundtrack] [LP] - VINYL,08/23/2019 ,19.99,Pre-Order
Girls Against Boys,Venus Luxure No. 1 Baby [LP] - VINYL,07/25/1995 ,14.99,In Stock
Danny Elfman,Men in Black [Original Score] [LP] - VINYL,01/05/2018 ,19.99,In Stock
John Ottman,X-Men: Apocalypse [Original Motion Picture Soundtrack] [LP] - VINYL,09/02/2016 ,39.99,In Stock
The Men,New Moon [LP] - VINYL,03/05/2013 ,17.99,In Stock
Henry Jackman,X-Men: First Class [Original Motion Picture Soundtrack] [LP] - VINYL,07/15/2016 ,39.99,In Stock
Original Motion Picture Soundtrack,20th Century Women [Music from the Motion Picture [LP] - VINYL,01/27/2017 ,19.99,In Stock
The Beach Boys,Endless Summer [LP] - VINYL,10/28/2008 ,29.99,In Stock
The Shirelles,Baby It's You [LP] - VINYL,07/30/2013 ,22.99,In Stock
Cole Porter,The Seeburg Music Library: Best of Cole Porter [LP] - VINYL,11/04/2014 ,23.99,In Stock
AC/DC,Flick of the Switch [LP] - VINYL,10/14/2003 ,17.99,In Stock
AC/DC,Powerage [LP] - VINYL,10/14/2003 ,17.99,In Stock
Jimi Hendrix,Machine Gun: Jimi Hendrix The Fillmore East First Show 12/31/1969 [LP] - VINYL,09/30/2016 ,27.99,In Stock
Linkin Park,One More Light [LP] - VINYL,05/19/2017 ,20.99,In Stock
Yellow Magic Orchestra,Naughty Boys [LP] - VINYL,09/20/2019 ,58.99,Pre-Order
John Mayall,A Hard Road [LP] - VINYL,06/22/2018 ,22.99,In Stock
The xx,xx [LP] - VINYL,10/20/2009 ,22.99,In Stock
Nirvana,In Utero [20th Anniversary LP] [LP] - VINYL,11/29/2013 ,29.99,In Stock
The Notorious B.I.G.,Born Again [LP] - VINYL,04/22/2017 ,29.99,In Stock
Elvis Presley,The King in the Ring [LP] - VINYL,11/30/2018 ,22.99,In Stock
Kiss,Destroyer [LP] - VINYL,04/01/2014 ,22.99,In Stock
John Coltrane,A  Love Supreme [LP] - VINYL,06/20/1995 ,22.99,In Stock
J. Cole,2014 Forest Hills Drive [LP] - VINYL,03/17/2015 ,23.99,In Stock
Eric Clapton,Forever Man [LP] - VINYL,07/31/2015 ,23.99,In Stock
Foreigner,Records [Red Vinyl] [LP] - VINYL,11/16/2018 ,20.99,In Stock
Childish Gambino,Because the Internet [LP] - VINYL,04/19/2014 ,35.99,In Stock
Peter Gabriel,Security [LP] - VINYL,03/17/2017 ,19.99,In Stock
Bruce Springsteen,Born to Run [LP] - VINYL,06/16/2015 ,22.99,In Stock
David Bowie,Rise and Fall of Ziggy Stardust and the Spiders from Mars [LP] - VINYL,02/26/2016 ,20.99,In Stock
Greta Van Fleet,Black Smoke Rising [LP] - VINYL,12/08/2017 ,16.99,In Stock
2Pac,2Pacalypse Now [LP] - VINYL,11/11/2016 ,28.99,In Stock
Tom Petty,Damn the Torpedoes [LP] - VINYL,06/02/2017 ,22.99,In Stock
Drake,Scorpion [LP] - VINYL,11/16/2018 ,33.99,In Stock
Neil Young,Songs for Judy [LP] - VINYL,12/14/2018 ,23.99,In Stock
Tom Petty,The Best of Everything: The Definitive Career-Spanning Hits Collection 1976-2016 [LP] - VINYL,03/01/2019 ,69.99,In Stock
Original Soundtrack,Eric Clapton: Life in 12 Bars [Original Motion Picture Soundtrack] [LP] - VINYL,07/20/2018 ,101.99,In Stock
Queen,The Game [LP] - VINYL,12/21/2018 ,22.99,In Stock
Eagles,"Their Greatest Hits, Vols. 1 & 2 [LP] - VINYL",07/21/2017 ,37.99,In Stock
Panic! At the Disco,Death of a Bachelor [LP] - VINYL,04/01/2016 ,18.99,In Stock
Eminem,Curtain Call: The Hits [LP] [PA],12/13/2005 Parental Advisory,23.99,In Stock
Future,Superfly [Original Motion Picture Soundtrack] [LP] [PA],07/13/2018 Parental Advisory,33.99,In Stock
Nine Inch Nails,Pretty Hate Machine [LP] - VINYL,07/12/2011 ,20.99,In Stock
Valve Studio Orchestra,Fight Songs: The Music of Team Fortress 2 [LP] - VINYL,04/21/2017 ,34.99,In Stock
Iron Maiden,Seventh Son of a Seventh Son [LP] - VINYL,11/24/2014 ,19.99,In Stock
G-Eazy,The  Beautiful & Damned [LP] - VINYL,05/18/2018 ,23.99,In Stock
Various Artists,One Hit Wonders [2019] [LP] - VINYL,09/10/2019 ,17.99,Pre-Order
The Underachievers,Indigoism [LP] - VINYL,07/10/2015 ,29.99,In Stock
Radiohead,OK Computer [LP] - VINYL,05/20/2016 ,26.99,In Stock
Twenty One Pilots,Vessel [Clear Vinyl] [LP] - VINYL,05/27/2014 ,20.99,In Stock
Kansas,Audio-Visions [LP] - VINYL,09/28/2018 ,32.99,In Stock
The Temper Trap,Conditions [White Vinyl] [LP] - VINYL,08/16/2019 ,32.99,Pre-Order
Bon Jovi,Slippery When Wet [LP] - VINYL,11/04/2016 ,22.99,In Stock
Prince,Planet Earth [LP] - VINYL,02/08/2019 ,22.99,In Stock
Taylor Swift,1989 [LP] - VINYL,12/09/2014 ,23.99,In Stock
Mastodon,Once More 'Round the Sun [LP] - VINYL,10/05/2018 ,35.99,In Stock
Nas,I Am... The Autobiography [LP] [PA],05/04/2018 Parental Advisory,22.99,In Stock
Ed Sheeran,x [2-LP] [LP] - VINYL,07/15/2014 ,26.99,In Stock
Utah Symphony,John Williams: The Star Wars Trilogy [LP] - VINYL,04/01/2016 ,16.99,In Stock
Phil Collins,The Singles [LP] - VINYL,10/12/2018 ,39.99,In Stock
Fatboy Slim,The Best of Fatboy Slim [LP] - VINYL,04/05/2019 ,39.99,In Stock
Post Malone,Stoney [LP] [PA],06/23/2017 Parental Advisory,42.99,In Stock
The Notorious B.I.G.,Greatest Hits [LP] - VINYL,08/24/2018 ,29.99,In Stock
Jack Johnson,All the Light Above It Too [LP] - VINYL,09/08/2017 ,22.99,In Stock
Brooks & Dunn,Reboot [LP] - VINYL,04/19/2019 ,22.99,In Stock
Eagles,Hotel California [LP] - VINYL,02/24/2015 ,23.99,In Stock
The Traveling Wilburys,"The Traveling Wilburys, Vol. 1 [LP] - VINYL",11/02/2018 ,26.99,In Stock
Dave Grohl,Play [LP] - VINYL,09/28/2018 ,17.99,In Stock
U2,War [LP] - VINYL,07/22/2008 ,22.99,In Stock
Nas,Nastradamus [LP] - VINYL,08/03/2018 ,23.99,In Stock
The Strokes,Is This It (LP) [LP] - VINYL,01/01/2001 ,18.99,In Stock
BadBadNotGood,IV [LP] - VINYL,07/08/2016 ,19.99,In Stock
The Civil Wars,Barton Hollow [LP] - VINYL,07/30/2013 ,32.99,In Stock
Michael Jackson,Dangerous [LP] - VINYL,11/20/2015 ,34.99,In Stock
Chris Cornell,Euphoria Mourning [LP] - VINYL,08/14/2015 ,22.99,In Stock
James Taylor,Greatest Hits [LP] - VINYL,12/03/2013 ,18.99,In Stock
Nine Inch Nails,The Fragile [Definitive Edition] [LP] - VINYL,11/17/2017 ,39.99,In Stock
Prince,Originals [LP] - VINYL,07/19/2019 ,32.99,In Stock
Joey Bada$$,B4.DA.$$ [LP] [PA],01/20/2015 Parental Advisory,22.99,In Stock
Kendrick Lamar,Black Panther: The Album [Music from and Inspired By] [LP] [PA],05/11/2018 Parental Advisory,28.99,In Stock
